0;0,8871;0,8971;0,9072;0,9172;0,9272;0,9372;0,9472;0,9572;0,9672;0,9772
0,5;0,8874;0,8975;0,9075;0,9175;0,9275;0,9375;0,9475;0,9575;0,9675;0,9776
1;0,8877;0,8978;0,9078;0,9178;0,9278;0,9378;0,9478;0,9579;0,9679;0,9779
1,5;0,8881;0,8981;0,9081;0,9181;0,9281;0,9382;0,9482;0,9582;0,9682;0,9782
2;0,8884;0,8984;0,9084;0,9185;0,9285;0,9385;0,9485;0,9585;0,9685;0,9785
2,5;0,8887;0,8988;0,9088;0,9188;0,9288;0,9388;0,9488;0,9588;0,9688;0,9788
3;0,889;0,8991;0,9091;0,9191;0,9291;0,9391;0,9491;0,9591;0,9692;0,9792
3,5;0,8894;0,8994;0,9094;0,9194;0,9294;0,9394;0,9495;0,9595;0,9695;0,9795
4;0,8897;0,8997;0,9097;0,9198;0,9298;0,9398;0,9498;0,9598;0,9698;0,9798
4,5;0,89;0,9001;0,9101;0,9201;0,9301;0,9401;0,9501;0,9601;0,9701;0,9801
5;0,8903;0,9004;0,9104;0,9204;0,9304;0,9404;0,9504;0,9604;0,9704;0,9805
5,5;0,8907;0,9007;0,9107;0,9207;0,9307;0,9407;0,9507;0,9608;0,9708;0,9808
6;0,891;0,901;0,911;0,921;0,931;0,9411;0,9511;0,9611;0,9711;0,9811
6,5;0,8913;0,9013;0,9114;0,9214;0,9314;0,9414;0,9514;0,9614;0,9714;0,9814
7;0,8916;0,9017;0,9117;0,9217;0,9317;0,9417;0,9517;0,9617;0,9717;0,9817
7,5;0,892;0,902;0,912;0,922;0,932;0,942;0,952;0,962;0,972;0,9821
8;0,8923;0,9023;0,9123;0,9223;0,9323;0,9423;0,9524;0,9624;0,9724;0,9824
8,5;0,8926;0,9026;0,9126;0,9226;0,9327;0,9427;0,9527;0,9627;0,9727;0,9827
9;0,8929;0,903;0,913;0,923;0,933;0,943;0,953;0,963;0,973;0,983
9,5;0,8933;0,9033;0,9133;0,9233;0,9333;0,9433;0,9533;0,9633;0,9733;0,9833
